x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
23.2373,57.3589,57.358899999999998,2.800000000000000,23.237300000000001,5182,212046.0,2012/04/13 07:40:00.000,12.0
22.9833,57.5667,57.566699999999997,3.600000000000000,22.983300000000000,5183,212047.0,2012/04/13 10:05:00.000,13.0
22.8833,57.7976,57.797600000000003,3.000000000000000,22.883299999999998,5184,212048.0,2012/04/13 12:15:00.000,9.0
22.41,57.8433,57.843299999999999,2.500000000000000,22.410000000000000,5185,212049.0,2012/04/13 15:15:00.000,13.0
24.067,57.481,57.481000000000002,5.700000000000000,24.067000000000000,5186,212105.0,2012/04/29 17:45:00.000,5.0
24.3,58.0833,58.083300000000001,5.200000000000000,24.300000000000001,5187,212107.0,2012/04/29 18:10:00.000,13.0
23.2833,57.3667,57.366700000000002,5.200000000000000,23.283300000000001,5188,212108.0,2012/04/29 18:25:00.000,13.0
23.4833,57.4,57.399999999999999,5.000000000000000,23.483300000000000,5189,212109.0,2012/04/29 18:33:00.000,13.0
23.8,58.1,58.100000000000001,4.900000000000000,23.800000000000001,5190,212143.0,2012/05/02 11:26:00.000,11.0
22.3154,57.8233,57.823300000000003,4.800000000000000,22.315400000000000,5191,212152.0,2012/05/02 13:59:00.000,11.0
22.2333,57.8833,57.883299999999998,4.600000000000000,22.233300000000000,5192,212153.0,2012/05/02 14:08:00.000,11.0
22.3333,57.7667,57.766700000000000,4.200000000000000,22.333300000000001,5193,212154.0,2012/05/02 14:20:00.000,13.0
22.8833,57.7976,57.797600000000003,4.100000000000000,22.883299999999998,5194,212155.0,2012/05/02 14:30:00.000,12.0
23.9167,57.85,57.850000000000001,4.400000000000000,23.916699999999999,5195,212156.0,2012/05/02 14:45:00.000,15.0
23.4686,57.8333,57.833300000000001,4.200000000000000,23.468599999999999,5196,212159.0,2012/05/02 15:15:00.000,13.0
23.634,57.822,57.822000000000003,3.800000000000000,23.634000000000000,5197,212160.0,2012/05/02 15:24:00.000,11.0
23.0765,57.8223,57.822299999999998,3.800000000000000,23.076499999999999,5198,212161.0,2012/05/02 15:32:00.000,11.0
22.8237,57.8132,57.813200000000002,3.600000000000000,22.823699999999999,5199,212162.0,2012/05/02 15:43:00.000,11.0
23.9333,57.1667,57.166699999999999,4.000000000000000,23.933299999999999,5200,212163.0,2012/05/02 15:56:00.000,11.0
23.2227,58.384,58.384000000000000,5.200000000000000,23.222700000000000,5201,212169.0,2012/05/02 17:51:00.000,9.0
23.6842,58.3427,58.342700000000001,4.200000000000000,23.684200000000001,5202,212170.0,2012/05/02 18:08:00.000,9.0
23.35,58.3756,58.375599999999999,3.800000000000000,23.350000000000001,5203,212171.0,2012/05/02 18:22:00.000,9.0
23.4718,58.4311,58.431100000000001,3.600000000000000,23.471800000000002,5204,212172.0,2012/05/02 18:31:00.000,9.0
23.85,57.3,57.299999999999997,3.600000000000000,23.850000000000001,5205,212175.0,2012/05/02 19:12:00.000,9.0
23.7667,57.4167,57.416699999999999,3.600000000000000,23.766700000000000,5206,212176.0,2012/05/02 19:23:00.000,9.0
23.6167,57.6167,57.616700000000002,3.800000000000000,23.616700000000002,5207,212177.0,2012/05/02 19:32:00.000,9.0
22.3731,58.1098,58.109800000000000,4.000000000000000,22.373100000000001,5208,212178.0,2012/05/02 19:45:00.000,11.0
23.55,57.72,57.719999999999999,4.000000000000000,23.550000000000001,5209,212179.0,2012/05/02 19:57:00.000,11.0
22.8546,58.1048,58.104799999999997,4.600000000000000,22.854600000000001,5210,212181.0,2012/05/03 07:58:00.000,9.0
23.35,57.96,57.960000000000001,4.600000000000000,23.350000000000001,5211,212183.0,2012/05/03 08:23:00.000,11.0
23.4,58.2,58.200000000000003,3.900000000000000,23.399999999999999,5212,212184.0,2012/05/03 08:33:00.000,11.0
22.8533,58.2167,58.216700000000003,5.000000000000000,22.853300000000001,5213,212187.0,2012/05/03 09:08:00.000,9.0
